question_id,track,decomposition_status,model_used,timestamp_utc,elapsed_seconds,key_point_count,key_point_chunk_ids,zero_shot_raw_status,zero_shot_raw_coverage_score,zero_shot_raw_max_e_per_keypoint,zero_shot_raw_error,zero_shot_final_status,zero_shot_final_coverage_score,zero_shot_final_max_e_per_keypoint,zero_shot_final_error,adapter_raw_status,adapter_raw_coverage_score,adapter_raw_max_e_per_keypoint,adapter_raw_error,adapter_final_status,adapter_final_coverage_score,adapter_final_max_e_per_keypoint,adapter_final_error,raw_answer_text,claims_raw,claims_final,transliteration_audit,decomposition_error
DA-001,DA,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:32:06.140088+00:00,16.685,3,DA001-C01; DA001-C02; DA001-C04,SUCCESS,0.7220393333333334,0.174906; 0.997966; 0.993246,,SUCCESS,0.7487879999999999,0.255076; 0.998042; 0.993246,,SUCCESS,0.4915563333333333,0.061226; 0.969241; 0.444202,,SUCCESS,0.49371800000000005,0.066846; 0.970106; 0.444202,,الـ Structured data يعني البيانات اللي منظمة في شكل جدول، صفوف وأعمدة، زي اللي بتلاقيها في database عادي أو Excel. بتكون ليها schema ثابت من الأول، كل عمود نوعه معروف، وده بيخليها سهلة إنك تعمل عليها query بـ SQL. أما الـ Unstructured فالعكس، مفيهاش شكل ثابت، زي الصور والفيديوهات والنصوص الحرة والإيميلات، ومفيهاش schema من الأول، فبتحتاج أدوات تانية زي NoSQL أو تقنيات NLP. وفيه كمان Semi-structured زي JSON وXML، في النص بين الاتنين.,Structured data هي البيانات التي منظمة في شكل جدول يتكون من صفوف وأعمدة. | Structured data توجد في قاعدة بيانات عادية أو في Excel. | Structured data لها schema ثابت من البداية. | في Structured data كل عمود نوعه معروف. | وجود schema ثابت يجعل Structured data سهلة لتطبيق query باستخدام SQL. | Unstructured data هي العكس ولا تحتوي على شكل ثابت. | Unstructured data تشمل الصور والفيديوهات والنصوص الحرة والإيميلات. | Unstructured data لا تحتوي على schema من البداية. | Unstructured data تحتاج إلى أدوات أخرى مثل NoSQL أو تقنيات NLP. | هناك نوع Semi-structured data مثل JSON و XML. | Semi-structured data يقع بين Structured data و Unstructured data.,Structured data هي البيانات التي منظمة في شكل جدول يتكون من صفوف واعمدة. | Structured data توجد في قاعدة بيانات عادية او في Excel. | Structured data لها schema ثابت من البداية. | في Structured data كل عمود نوعه معروف. | وجود schema ثابت يجعل Structured data سهلة لتطبيق query باستخدام SQL. | Unstructured data هي العكس ولا تحتوي على شكل ثابت. | Unstructured data تشمل الصور والفيديوهات والنصوص الحرة والايميلات. | Unstructured data لا تحتوي على schema من البداية. | Unstructured data تحتاج الى ادوات اخرى مثل NoSQL او تقنيات NLP. | هناك نوع Semi-structured data مثل JSON و XML. | Semi-structured data يقع بين Structured data و Unstructured data.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DA-002,DA,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:32:42.826243+00:00,18.528,4,DA002-C01; DA002-C03; DA002-C04; DA002-C06,SUCCESS,0.006747,0.010217; 0.009452; 0.005872; 0.001447,,SUCCESS,0.006857,0.015087; 0.00503; 0.005995; 0.001316,,SUCCESS,0.00601825,0.014556; 0.003956; 0.004706; 0.000855,,SUCCESS,0.00644825,0.01574; 0.004169; 0.005009; 0.000875,,أول حاجة Data Collection، تجميع البيانات من مصادرها. بعدين Data Cleaning، وده أهم جزء غالبًا، بتشيل فيه القيم الناقصة والـ duplicates والأخطاء. بعد كده Data Exploration أو EDA، بتستكشف فيها البيانات بالرسم البياني والإحصاء الوصفي. بعدين Data Transformation أو Feature Engineering لتجهيز البيانات. بعد كده Analysis أو Modeling. وآخر حاجة Interpretation والـ Visualization لعرض النتائج لصانع القرار.,Data Collection هو جمع البيانات من مصادرها. | Data Cleaning هو تنظيف البيانات. | المتحدث يصف أن Data Cleaning هو أهم جزء غالبًا. | في Data Cleaning يتم إزالة القيم الناقصة. | في Data Cleaning يتم إزالة الـ duplicates. | في Data Cleaning يتم إزالة الأخطاء. | Data Exploration أو EDA هو استكشاف البيانات باستخدام الرسم البياني والإحصاء الوصفي. | Data Transformation أو Feature Engineering هو تجهيز البيانات. | Analysis أو Modeling هو تحليل أو نمذجة البيانات. | Interpretation والـ Visualization هو عرض النتائج لصانع القرار.,Data Collection هو جمع البيانات من مصادرها. | Data Cleaning هو تنظيف البيانات. | المتحدث يصف ان Data Cleaning هو اهم جزء غالبا. | في Data Cleaning يتم ازالة القيم الناقصة. | في Data Cleaning يتم ازالة ال duplicates. | في Data Cleaning يتم ازالة الاخطاء. | Data Exploration او EDA هو استكشاف البيانات باستخدام الرسم البياني والاحصاء الوصفي. | Data Transformation او Feature Engineering هو تجهيز البيانات. | Analysis او Modeling هو تحليل او نمذجة البيانات. | Interpretation وال Visualization هو عرض النتائج لصانع القرار.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DA-029,DA,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:33:21.354928+00:00,14.626,3,DA029-C01; DA029-C03; DA029-C04,SUCCESS,0.282312,0.381189; 0.003461; 0.462286,,SUCCESS,0.38724566666666665,0.437526; 0.00375; 0.720461,,SUCCESS,0.032897666666666665,0.029577; 0.012812; 0.056304,,SUCCESS,0.035752,0.031198; 0.013851; 0.062207,,الـ p-value بصراحة دي حاجة دايمًا بتلخبطني. إحنا في الكلية أخدناها في مادة الإحصاء بس صراحة أنا بستخدمها بشكل عملي أكتر ما بفهمها نظريًا. يعني اللي أنا حافظه إنك بتبص على الرقم، لو أقل من 0.05 يبقى تمام، النتيجة معتبرة. والفكرة على ما أعتقد إن الرقم ده بيقولك احتمال إن الفرضية الصفرية تكون صحيحة، فلو طلع صغير يبقى الاحتمال ده ضعيف فبترفضها. الـ 0.05 دي هي المتعارف عليها في أغلب الأبحاث. والدلالة الإحصائية… يعني بالنسبة لي هي إن النتيجة معتبرة ومش صدفة، بس مش هقدر أديك تعريف رياضي دقيق ليها.,الـ p-value شيء يربك المتحدث دائمًا. | المتحدث أخذ الـ p-value في مادة الإحصاء في الكلية. | المتحدث يستخدم الـ p-value عمليًا أكثر مما يفهمه نظريًا. | المتحدث يعتقد أنه يجب النظر إلى الرقم، وإذا كان أقل من 0.05 تكون النتيجة معتبرة. | المتحدث يعتقد أن الرقم يعبّر عن احتمال أن تكون الفرضية الصفرية صحيحة. | المتحدث يعتقد أنه إذا كان الرقم صغيرًا يكون الاحتمال ضعيفًا فيُرفض الفرضية الصفرية. | المتحدث يقول إن الـ 0.05 هو المستوى المتعارف عليه في أغلب الأبحاث. | بالنسبة للمتحدث، الدلالة الإحصائية هي أن النتيجة معتبرة وغير صدفة. | المتحدث لا يستطيع إعطاء تعريف رياضي دقيق للدلالة الإحصائية.,ال p-value شيء يربك المتحدث دائما. | المتحدث اخذ ال p-value في مادة الاحصاء في الكلية. | المتحدث يستخدم ال p-value عمليا اكثر مما يفهمه نظريا. | المتحدث يعتقد انه يجب النظر الى الرقم، واذا كان اقل من 0.05 تكون النتيجة معتبرة. | المتحدث يعتقد ان الرقم يعبر عن احتمال ان تكون الفرضية الصفرية صحيحة. | المتحدث يعتقد انه اذا كان الرقم صغيرا يكون الاحتمال ضعيفا فيرفض الفرضية الصفرية. | المتحدث يقول ان ال 0.05 هو المستوى المتعارف عليه في اغلب الابحاث. | بالنسبة للمتحدث، الدلالة الاحصائية هي ان النتيجة معتبرة وغير صدفة. | المتحدث لا يستطيع اعطاء تعريف رياضي دقيق للدلالة الاحصائية.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DA-036,DA,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:33:55.982253+00:00,9.292,2,DA036-C01; DA036-C02,SUCCESS,0.1450905,0.005058; 0.285123,,SUCCESS,0.125303,0.00483; 0.245776,,SUCCESS,0.0922105,0.019796; 0.164625,,SUCCESS,0.065138,0.017084; 0.113192,,"بستخدم الاتنين كتير في شغلي على الـ داتا فريم. باختصار الـوك اسمه جاي من اللابل باس يعني بتديله اسم الـ index او اسم العمود بالظبط، مثلا `df.loc[5, 'salary']` هنا الـ 5 دي label مش ترتيب. اما الـ iloc فهو integer location بتديله رقم الموضع، `df.iloc[0]` يعني اول صف مهما كان اسمه. وفيه فرق مهم بيلخبط الناس: لو عملت `df.loc[2:5]` هترجعلك الصف رقم 5 كمان لان الـ loc inclusive للطرفين، لكن `df.iloc[2:5]` هتوقف عند 4.","يستخدم المتحدث الـ loc والـ iloc كثيرًا في عمله على الـ DataFrame. | اسم الـ loc يأتي من label‑based. | الـ loc يُعطى اسم الـ index أو اسم العمود بالضبط. | في المثال df.loc[5, 'salary'] الرقم 5 هو label وليس ترتيبًا. | الـ iloc هو integer‑location. | الـ iloc يُعطى رقم الموضع. | في المثال df.iloc[0] يعني أول صف مهما كان اسمه. | إذا استُخدم df.loc[2:5] يعيد الصف رقم 5 أيضًا لأن الـ loc شامل للطرفين. | إذا استُخدم df.iloc[2:5] يتوقف عند 4.","يستخدم المتحدث ال loc وال iloc كثيرا في عمله على ال DataFrame. | اسم ال loc ياتي من label‑based. | ال loc يعطى اسم ال index او اسم العمود بالضبط. | في المثال df.loc[5, 'salary'] الرقم 5 هو label وليس ترتيبا. | ال iloc هو integer‑location. | ال iloc يعطى رقم الموضع. | في المثال df.iloc[0] يعني اول صف مهما كان اسمه. | اذا استخدم df.loc[2:5] يعيد الصف رقم 5 ايضا لان ال loc شامل للطرفين. | اذا استخدم df.iloc[2:5] يتوقف عند 4.","{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DA-046,DA,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:34:25.275485+00:00,15.552,3,DA046-C01; DA046-C02; DA046-C03,SUCCESS,0.347103,0.991672; 0.049069; 0.000568,,SUCCESS,0.35655366666666666,0.994937; 0.074105; 0.000619,,SUCCESS,0.10165566666666666,0.257327; 0.045875; 0.001765,,SUCCESS,0.14589133333333335,0.391905; 0.044121; 0.001648,,الـ Time Series ببساطة أي متغيّر بتتابع قيمته على فترات زمنية متتالية، والترتيب هنا مهم جدا، مينفعش تعمل shuffle للبيانات زي ما بتعمل في أي dataset عادي. ولما بنحلّلها بنفكّكها لأربع حاجات: الـ Trend، ده الاتجاه طويل المدى؛ والـ Seasonality، ده نمط بيتكرر كل فترة ثابتة معروفة زي كل سنة أو كل أسبوع؛ والـ Cyclical component اللي بيتكرر بردو بس على فترات مش ثابتة الطول؛ وفي الآخر الـ Residual أو الـ Noise، اللي هو الجزء العشوائي اللي مقدرناش نفسّره. وأعتقد إن الفصل بين الـ Seasonality والـ Cyclicity من أكتر الحاجات اللي بيغلط فيها الناس.,السلسلة الزمنية (Time Series) هي أي متغيّر يتتابع قيمه على فترات زمنية متتالية. | الترتيب مهم جدًا في السلسلة الزمنية. | لا يجوز خلط البيانات (shuffle) في السلسلة الزمنية كما يحدث في أي مجموعة بيانات عادية. | عند تحليل السلسلة الزمنية يتم تفكيكها إلى أربعة مكونات. | المكوّن الأول هو الاتجاه (Trend) وهو الاتجاه طويل المدى. | المكوّن الثاني هو الموسمية (Seasonality) وهي نمط يتكرر كل فترة ثابتة معروفة مثل كل سنة أو كل أسبوع. | المكوّن الثالث هو المكوّن الدوري (Cyclical component) وهو يتكرر أيضًا لكن على فترات غير ثابتة الطول. | المكوّن الرابع هو المتبقي (Residual) أو الضوضاء (Noise) وهو الجزء العشوائي الذي لم نستطع تفسيره. | الفصل بين الموسمية والدورية هو أحد أكثر الأخطاء التي يرتكبها الناس.,السلسلة الزمنية (Time Series) هي اي متغير يتتابع قيمه على فترات زمنية متتالية. | الترتيب مهم جدا في السلسلة الزمنية. | لا يجوز خلط البيانات (shuffle) في السلسلة الزمنية كما يحدث في اي مجموعة بيانات عادية. | عند تحليل السلسلة الزمنية يتم تفكيكها الى اربعة مكونات. | المكون الاول هو الاتجاه (Trend) وهو الاتجاه طويل المدى. | المكون الثاني هو الموسمية (Seasonality) وهي نمط يتكرر كل فترة ثابتة معروفة مثل كل سنة او كل اسبوع. | المكون الثالث هو المكون الدوري (Cyclical component) وهو يتكرر ايضا لكن على فترات غير ثابتة الطول. | المكون الرابع هو المتبقي (Residual) او الضوضاء (Noise) وهو الجزء العشوائي الذي لم نستطع تفسيره. | الفصل بين الموسمية والدورية هو احد اكثر الاخطاء التي يرتكبها الناس.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DS-008,DS,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:35:00.828439+00:00,11.218,2,DS008-C01; DS008-C03,SUCCESS,0.19789099999999998,0.356191; 0.039591,,SUCCESS,0.245762,0.471756; 0.019768,,SUCCESS,0.052925,0.063685; 0.042165,,SUCCESS,0.0695135,0.087146; 0.051881,,الـ KNN دي أسهل حاجة اتعلمتها. تخيل عندك نقط على رسمة، وجالك نقطة جديدة عايز تعرف هي بتاعت أنهي مجموعة. بتبص على أقرب K نقطة ليها، ولو أغلبهم أحمر يبقى هي حمرا. بس كده. المسافة بتتحسب بالـ Euclidean يعني نظرية فيثاغورس عادي. والـ K لازم تبقى رقم فردي عشان لو حصل تعادل ما نبقاش تايهين. وحاجة مهمة إنه مبيتدربش أصلًا، يعني مفيش training، هو بس بيخزّن الداتا ولما ييجي وقت الـ prediction بيبدأ يحسب، وعشان كده بطيء لو الداتا كبيرة.,الـ KNN هو أسهل شيء تعلمته. | لديك نقاط على رسم. | تظهر لك نقطة جديدة تريد معرفة المجموعة التي تنتمي إليها. | تنظر إلى أقرب K نقاط إلى النقطة الجديدة. | إذا كان أغلب هذه النقاط أقرب أحمرًا فإن النقطة الجديدة تكون حمراء. | تُحسب المسافة باستخدام Euclidean أي وفق نظرية فيثاغورس العادية. | يجب أن يكون K رقمًا فرديًا لتجنب التعادل وعدم الضياع. | الـ KNN لا يتدرب أصلاً ولا يوجد training. | الـ KNN يقتصر على تخزين البيانات. | عند وقت الـ prediction يبدأ الـ KNN بالحساب. | الـ KNN يكون بطيئًا إذا كانت البيانات كبيرة.,ال KNN هو اسهل شيء تعلمته. | لديك نقاط على رسم. | تظهر لك نقطة جديدة تريد معرفة المجموعة التي تنتمي اليها. | تنظر الى اقرب K نقاط الى النقطة الجديدة. | اذا كان اغلب هذه النقاط اقرب احمرا فان النقطة الجديدة تكون حمراء. | تحسب المسافة باستخدام Euclidean اي وفق نظرية فيثاغورس العادية. | يجب ان يكون K رقما فرديا لتجنب التعادل وعدم الضياع. | ال KNN لا يتدرب اصلا ولا يوجد training. | ال KNN يقتصر على تخزين البيانات. | عند وقت ال prediction يبدا ال KNN بالحساب. | ال KNN يكون بطيئا اذا كانت البيانات كبيرة.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DS-010,DS,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:35:32.047355+00:00,9.246,2,DS010-C01; DS010-C03,SUCCESS,0.0376205,0.073423; 0.001818,,SUCCESS,0.0665035,0.131296; 0.001711,,SUCCESS,0.0176815,0.025626; 0.009737,,SUCCESS,0.019989,0.030943; 0.009035,,أشهر طريقة هي الـ Elbow Method، بترسم فيها الـ WCSS (within-cluster sum of squares) مقابل قيم k مختلفة، وبتدور على النقطة اللي شكلها زي الكوع. في كمان الـ Silhouette Score، بيقيس تماسك النقاط جوه الـ cluster مقارنة بأقرب cluster تاني، والقيمة القريبة من 1 معناها clustering كويس. وفيه الـ Gap Statistic اللي بتقارن الأداء بأداء بيانات random. بس في الآخر القرار مش رياضي بحت، لازم يتاخد في الاعتبار الـ domain knowledge.,أشهر طريقة هي Elbow Method. | في Elbow Method يتم رسم الـ WCSS (within-cluster sum of squares) مقابل قيم k مختلفة. | في Elbow Method يتم البحث عن النقطة التي شكلها مثل الكوع. | هناك أيضاً Silhouette Score. | Silhouette Score يقيس تماسك النقاط داخل الـ cluster مقارنة بأقرب cluster آخر. | القيمة القريبة من 1 في Silhouette Score تعني أن الـ clustering جيد. | هناك أيضاً Gap Statistic. | Gap Statistic يقارن الأداء بأداء بيانات random. | في النهاية القرار ليس رياضيًا بحتًا ويجب أخذ الـ domain knowledge في الاعتبار.,اشهر طريقة هي Elbow Method. | في Elbow Method يتم رسم ال WCSS (within-cluster sum of squares) مقابل قيم k مختلفة. | في Elbow Method يتم البحث عن النقطة التي شكلها مثل الكوع. | هناك ايضا Silhouette Score. | Silhouette Score يقيس تماسك النقاط داخل ال cluster مقارنة باقرب cluster اخر. | القيمة القريبة من 1 في Silhouette Score تعني ان ال clustering جيد. | هناك ايضا Gap Statistic. | Gap Statistic يقارن الاداء باداء بيانات random. | في النهاية القرار ليس رياضيا بحتا ويجب اخذ ال domain knowledge في الاعتبار.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DS-011,DS,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:36:01.295257+00:00,10.875,3,DS011-C01; DS011-C02; DS011-C05,SUCCESS,0.489397,0.29963; 0.997915; 0.170646,,SUCCESS,0.468221,0.246837; 0.997919; 0.159907,,SUCCESS,0.35799866666666663,0.160745; 0.858822; 0.054429,,SUCCESS,0.340637,0.156323; 0.816709; 0.048879,,الـ SVM (Support Vector Machine) موديل تصنيف بيحاول يلاقي أفضل hyperplane يفصل بين الفئات، وبيعظّم الـ margin بينها وبين أقرب نقاط ليها (support vectors). المشكلة إن مش كل البيانات قابلة للفصل بخط مستقيم في الـ space الأصلي. وهنا بييجي دور الـ Kernel Trick، بيخليك تحسب الـ similarity بين النقاط زي لو كانت متحوّلة لـ space أعلى الأبعاد، من غير ما فعليًا تعمل التحويل، وده بيوفر حسابات كتير. من أشهر الـ kernels: RBF kernel وpolynomial kernel.,الـ SVM (Support Vector Machine) هو نموذج تصنيف يحاول إيجاد أفضل hyperplane يفصل بين الفئات. | الـ SVM يعظم الـ margin بين الفئات وأقرب نقاط لها (support vectors). | ليست كل البيانات قابلة للفصل بخط مستقيم في الـ space الأصلي. | الـ Kernel Trick يتيح حساب الـ similarity بين النقاط كما لو كانت محولة إلى space أعلى الأبعاد دون إجراء التحويل فعليًا. | الـ Kernel Trick يوفر حسابات كثيرة. | من أشهر الـ kernels هو RBF kernel. | من أشهر الـ kernels هو polynomial kernel.,ال SVM (Support Vector Machine) هو نموذج تصنيف يحاول ايجاد افضل hyperplane يفصل بين الفئات. | ال SVM يعظم ال margin بين الفئات واقرب نقاط لها (support vectors). | ليست كل البيانات قابلة للفصل بخط مستقيم في ال space الاصلي. | ال Kernel Trick يتيح حساب ال similarity بين النقاط كما لو كانت محولة الى space اعلى الابعاد دون اجراء التحويل فعليا. | ال Kernel Trick يوفر حسابات كثيرة. | من اشهر ال kernels هو RBF kernel. | من اشهر ال kernels هو polynomial kernel.,"{""substitutions"": [], ""residual_ambiguous_count"": 1}",
DS-030,DS,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:36:32.171582+00:00,22.492,3,DS030-C01; DS030-C02; DS030-C03,SUCCESS,0.43384500000000004,0.173213; 0.994217; 0.134105,,SUCCESS,0.408768,0.112164; 0.991856; 0.122284,,SUCCESS,0.14213,0.034208; 0.369667; 0.022515,,SUCCESS,0.17178733333333332,0.035384; 0.450293; 0.029685,,XGBoostده أنا استخدمته في مشروع وطلع نتيجة أحسن من أي حاجة تانية جرّبتها، بس ما تسألنيش هو شغال إزاي بالظبط جوّه. اللي أنا فاهمه إنه بيبني كذا شجرة، ذي الـ Random Forest كده بالظبط، أشجار كتير مستقلة عن بعض وفي الآخر بياخد المتوسط أو لأ، استنى، أظن فيه حاجة إن كل شجرة بتصلّح غلطة اللي قبلها؟ لأ، أنا أظن دي حاجة تانية. خلينا نقول إنها أشجار مستقلة وبيتجمّع ناتجها في الآخر. المهم إنه سريع، وبيدعم الـ GPU، وبيتعامل مع الـ missing values لوحده من غير ما تنضّف حاجة، وفيه فيه regularization بيمنع الـ overfitting. عشان كده كل الناس في Kaggle بتستخدمه.,المتحدث استخدم XGBoost في مشروع. | XGBoost أظهر نتيجة أفضل من أي شيء آخر جربه المتحدث. | المتحدث يطلب عدم سؤاله عن طريقة عمل XGBoost داخلًا. | المتحدث يفهم أن XGBoost يبني عدة أشجار. | الأشجار التي يبنيها XGBoost تشبه الأشجار في Random Forest. | الأشجار التي يبنيها XGBoost كثيرة ومستقلة عن بعضها. | المتحدث يقول إن XGBoost قد يجمع ناتج الأشجار في النهاية. | المتحدث يقول إن XGBoost قد لا يجمع ناتج الأشجار في النهاية. | المتحدث ظن أن كل شجرة في XGBoost تصحح خطأ الشجرة السابقة. | المتحدث يرفض الفكرة السابقة ويظن أن ذلك شيء آخر. | المتحدث يصف أشجار XGBoost بأنها مستقلة وتُجمع ناتجها في النهاية. | XGBoost سريع. | XGBoost يدعم الـ GPU. | XGBoost يتعامل مع الـ missing values بنفسه دون الحاجة لتنظيف البيانات. | XGBoost يحتوي على regularization يمنع الـ overfitting. | كل الناس في Kaggle يستخدمون XGBoost.,المتحدث استخدم XGBoost في مشروع. | XGBoost اظهر نتيجة افضل من اي شيء اخر جربه المتحدث. | المتحدث يطلب عدم سؤاله عن طريقة عمل XGBoost داخلا. | المتحدث يفهم ان XGBoost يبني عدة اشجار. | الاشجار التي يبنيها XGBoost تشبه الاشجار في Random Forest. | الاشجار التي يبنيها XGBoost كثيرة ومستقلة عن بعضها. | المتحدث يقول ان XGBoost قد يجمع ناتج الاشجار في النهاية. | المتحدث يقول ان XGBoost قد لا يجمع ناتج الاشجار في النهاية. | المتحدث ظن ان كل شجرة في XGBoost تصحح خطا الشجرة السابقة. | المتحدث يرفض الفكرة السابقة ويظن ان ذلك شيء اخر. | المتحدث يصف اشجار XGBoost بانها مستقلة وتجمع ناتجها في النهاية. | XGBoost سريع. | XGBoost يدعم ال GPU. | XGBoost يتعامل مع ال missing values بنفسه دون الحاجة لتنظيف البيانات. | XGBoost يحتوي على regularization يمنع ال overfitting. | كل الناس في Kaggle يستخدمون XGBoost.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
DS-033,DS,SUCCESS,openai/gpt-oss-120b,2026-07-30T07:37:14.665655+00:00,11.339,3,DS033-C01; DS033-C03; DS033-C05,SUCCESS,0.3534743333333334,0.057229; 0.98867; 0.014524,,SUCCESS,0.3367543333333333,0.009261; 0.986478; 0.014524,,SUCCESS,0.12118833333333334,0.082015; 0.256066; 0.025484,,SUCCESS,0.10284866666666666,0.044153; 0.238909; 0.025484,,Backpropagation… يعني الاسم نفسه بيقول: انتشار عكسي. الشبكة الأول بتشتغل من الشمال لليمين وتطلّع نتيجة، النتيجة دي بتبقى غلط في الأول طبعًا لأن الـ weights عشوائية. فبنقارن اللي طلع باللي المفروض يطلع، وبنطلّع رقم اسمه الـ loss. بعد كده بترجع بالعكس، من الآخر للأول، وبتظبط الـ weights شوية شوية عشان الغلط يقلّ. هي دي فكرة الـ gradient descent بالظبط، يعني الـ backprop والـ gradient descent نفس الحاجة عندي. وبتستخدم الـ chain rule في الرياضة عشان تعرف كل weight ساهم قد إيه في الغلط. والعملية بتتكرر مرات كتير، كل مرة اسمها epoch.,اسم Backpropagation يعني انتشار عكسي. | الشبكة الأولى تعمل من اليسار إلى اليمين وتنتج نتيجة. | النتيجة تكون خاطئة في البداية لأن الأوزان (weights) عشوائية. | يتم مقارنة النتيجة المتوقعة بالنتيجة الفعلية وحساب رقم يسمى loss. | بعد ذلك يتم الرجوع بالعكس من النهاية إلى البداية لتعديل الأوزان تدريجياً لتقليل الخطأ. | فكرة gradient descent هي نفسها فكرة Backpropagation. | تُستخدم قاعدة السلسلة (chain rule) في الرياضيات لتحديد مساهمة كل وزن في الخطأ. | العملية تتكرر مرات عديدة وتسمى كل مرة epoch.,اسم Backpropagation يعني انتشار عكسي. | الشبكة الاولى تعمل من اليسار الى اليمين وتنتج نتيجة. | النتيجة تكون خاطئة في البداية لان الاوزان (weights) عشوائية. | يتم مقارنة النتيجة المتوقعة بالنتيجة الفعلية وحساب رقم يسمى loss. | بعد ذلك يتم الرجوع بالعكس من النهاية الى البداية لتعديل الاوزان تدريجيا لتقليل الخطا. | فكرة gradient descent هي نفسها فكرة Backpropagation. | تستخدم قاعدة السلسلة (chain rule) في الرياضيات لتحديد مساهمة كل وزن في الخطا. | العملية تتكرر مرات عديدة وتسمى كل مرة epoch.,"{""substitutions"": [], ""residual_ambiguous_count"": 0}",
