term	total_occurrences	n_documents
GROUP BY	9	3
Gradient Descent	8	4
Power BI	7	4
Data Warehouse	6	3
ORDER BY	6	3
Abstract Class	5	1
Bar Chart	5	1
Machine Learning	5	4
Box Plot	4	2
Data Analyst	4	1
Data Scientist	4	1
Gradient Boosting	4	2
Learning Rate	4	2
Penetration Testing	4	2
Random Forest	4	3
Window Functions	4	1
ARP Spoofing	3	2
Binary Search	3	2
Brute Force	3	2
DNS Spoofing	3	2
Data Cleaning	3	2
Data Governance	3	2
Data Leakage	3	2
Data Mart	3	1
Feature Scaling	3	2
Feature Selection	3	3
Garbage Collection	3	2
Hash Table	3	2
Horizontal Scaling	3	2
L2 Regularization	3	2
Linked List	3	2
Logical Error	3	2
Logistic Regression	3	1
Naive Bayes	3	2
Pivot Table	3	1
Primary Key	3	2
Rate Limiting	3	3
SQL Injection	3	2
Stack Overflow	3	3
Star Schema	3	2
Vanishing Gradient	3	2
Activation Function	2	2
Asymmetric Encryption	2	1
Big Data	2	1
Black Box	2	1
CIA Triad	2	1
Certificate Authority	2	2
Chain of	2	2
Clean Code	2	1
Cloud Computing	2	1
Code Review	2	1
Cohort Analysis	2	1
Confidence Interval	2	1
Confounding Variable	2	2
Confusion Matrix	2	1
Curse of	2	1
Curse of Dimensionality	2	1
DNS over	2	1
Data Analysis	2	2
Data Dictionary	2	1
Data Marts	2	1
Data Storytelling	2	1
Data Structures	2	1
Data Visualization	2	1
Decision Tree	2	1
Defense in	2	1
Defense in Depth	2	1
Design Patterns	2	1
Digital Certificate	2	2
Digital Forensics	2	1
Digital Signatures	2	2
Domain Knowledge	2	2
Ensemble Learning	2	1
False Positive	2	2
False Positives	2	2
Feature Engineering	2	1
Foreign Key	2	1
Full Stack	2	1
Full Stack Developer	2	1
Funnel Analysis	2	1
Git Flow	2	1
Git Merge	2	1
Git Rebase	2	1
Gray Box	2	1
Hyperparameter Tuning	2	1
Imbalanced Dataset	2	1
Incident Response	2	1
Kernel Trick	2	1
L1 Regularization	2	2
LEFT JOIN	2	1
Least Privilege	2	1
Linear Regression	2	1
Load Balancer	2	1
