term	total_occurrences	n_documents
Data	53	20
HTTP	29	14
bit	25	6
git	22	6
SQL	21	11
Learning	20	12
Gradient	19	9
Overfitting	19	10
BY	16	3
DNS	16	5
Stack	16	7
HTTPS	15	8
Hash	14	9
IP	13	11
Recall	13	5
Scaling	13	6
TLS	13	9
Testing	13	8
Bias	12	5
Precision	12	5
Python	12	10
Feature	11	9
Features	11	8
Boosting	10	3
Box	10	3
Class	10	5
JSON	10	6
Regression	10	5
TCP	10	5
of	10	9
Agile	9	3
Analysis	9	6
Error	9	4
GROUP	9	3
JOIN	9	2
Linux	9	4
Power	9	5
Rate	9	6
Regularization	9	5
Table	9	6
VPN	9	2
WHERE	9	3
log	9	7
API	8	3
APIs	8	7
ARP	8	2
Binary	8	5
Code	8	6
Descent	8	4
Firewall	8	2
Interface	8	4
JavaScript	8	7
Key	8	3
Machine	8	7
Memory	8	4
Normalization	8	4
Pandas	8	6
Private	8	6
REST	8	4
RSA	8	2
Sampling	8	2
Session	8	4
AES	7	2
BI	7	4
Bagging	7	3
Classification	7	4
Cookies	7	4
DELETE	7	3
Digital	7	5
Encryption	7	3
Excel	7	6
GET	7	2
KNN	7	5
NoSQL	7	2
Random	7	6
Salt	7	1
Schema	7	4
Variance	7	5
p-value	7	2
Accuracy	6	5
CI	6	2
Cross-Validation	6	4
False	6	5
HAVING	6	1
Heap	6	2
Histogram	6	1
IPv4	6	3
Java	6	5
L1	6	3
L2	6	3
Loss	6	2
MFA	6	4
Management	6	4
Method	6	5
ORDER	6	3
POST	6	2
Plot	6	2
Polymorphism	6	2
Risk	6	3
SDK	6	1
Spoofing	6	3
State	6	6
UDP	6	3
Visualization	6	2
Vulnerability	6	3
Warehouse	6	3
XSS	6	3
ASCII	5	2
Abstract	5	1
Bar	5	1
Big	5	3
CSRF	5	2
Cache	5	4
Chart	5	1
Container	5	3
Context	5	3
Control	5	4
Cookie	5	1
Correlation	5	3
DAX	5	2
Docker	5	1
Encoding	5	4
F1	5	2
Functions	5	2
Garbage	5	3
Hashing	5	2
IPS	5	2
IaaS	5	2
Inheritance	5	2
Integrity	5	4
Load	5	3
Mean	5	4
Median	5	3
Merge	5	2
Microsoft	5	4
NF	5	1
Naive	5	2
Outliers	5	4
Pearson	5	1
Pivot	5	2
Public	5	5
Queue	5	3
R-squared	5	2
RAM	5	1
ROC	5	1
ROM	5	1
Rebase	5	1
SSL	5	3
Scanning	5	3
Search	5	3
Software	5	4
TRUNCATE	5	1
Tableau	5	3
Time	5	4
Transformer	5	2
Unit	5	3
WAF	5	2
Waterfall	5	1
XML	5	2
Zero-Day	5	2
ACID	4	3
AUC	4	1
Access	4	4
Analyst	4	1
Analytics	4	1
Apache	4	4
Assessment	4	2
Backend	4	2
Backpropagation	4	3
Bayes	4	2
Byte	4	1
C#	4	4
C++	4	4
Certificate	4	2
Collection	4	3
Compiler	4	2
Continuous	4	2
Debugging	4	2
Decision	4	3
Django	4	4
ETL	4	2
Engineering	4	2
Ensemble	4	3
Forest	4	3
Full	4	3
Function	4	4
Google	4	3
HTML	4	3
Handshake	4	3
Horizontal	4	3
Hyperparameters	4	3
IDS	4	1
Injection	4	3
Interpreted	4	3
Interpreter	4	2
K-Means	4	3
KPI	4	2
Kernel	4	2
Keylogger	4	1
Kubernetes	4	2
LSTM	4	2
Localhost	4	1
MAE	4	2
MSE	4	2
MVC	4	1
Model	4	3
NULL	4	3
Nmap	4	2
OWASP	4	1
Open	4	3
Output	4	4
PCA	4	2
PaaS	4	2
Parameters	4	3
Patch	4	3
Penetration	4	2
Phishing	4	2
Port	4	2
Positive	4	2
Privilege	4	2
Process	4	3
Pseudocode	4	2
ReLU	4	1
Root	4	4
SIEM	4	2
SMOTE	4	2
SUM	4	4
SVM	4	3
SaaS	4	2
Scientist	4	1
Scrum	4	2
Security	4	3
Selection	4	4
Server	4	2
Service	4	2
Sigmoid	4	2
Sprint	4	1
Standardization	4	2
Star	4	3
Threat	4	2
Transfer	4	3
Trojan	4	1
Trust	4	2
URL	4	2
Vertical	4	3
Window	4	1
and	4	4
iloc	4	1
loc	4	1
xx	4	1
Activation	3	2
Android	3	3
Application	3	3
Array	3	2
Average	3	2
BERT	3	3
Backdoor	3	2
Batch	3	1
Brute	3	2
Bug	3	1
Business	3	3
CD	3	2
CNN	3	1
COUNT	3	3
CPU	3	1
CSS	3	3
Caching	3	2
Categorical	3	3
Causation	3	1
Chain	3	3
Cleaning	3	2
Cloud	3	1
Cohort	3	1
Commit	3	3
Compiled	3	2
DDoS	3	2
DES	3	2
DROP	3	1
Debugger	3	2
Depth	3	2
Dictionary	3	2
Dimensionality	3	2
Duplicates	3	2
Encapsulation	3	2
End-to-End	3	2
Expressions	3	2
Extract	3	2
F1-Score	3	2
Flood	3	1
Flow	3	1
Force	3	2
Frequency	3	2
Frontend	3	2
GPL	3	2
GitHub	3	3
Governance	3	2
Hyperparameter	3	2
IPv6	3	2
IQR	3	2
Image	3	2
Index	3	1
Input	3	3
Integration	3	2
Iterative	3	3
Layer	3	2
Leakage	3	2
Least	3	2
Limiting	3	3
Linear	3	2
Linked	3	2
List	3	2
Logical	3	2
Logistic	3	1
Man-in-the-Middle	3	2
Mart	3	1
Mini-batch	3	1
Mode	3	2
Monolith	3	1
NLP	3	2
Network	3	2
Neural	3	2
NumPy	3	3
OSI	3	1
Overflow	3	3
Oversampling	3	2
PKI	3	1
