idx	stratum	term	form	bare_len	verdict
1	A	Agent	إيجنت	5	KEEP
2	A	Agent	الإيجنت	5	KEEP
3	A	Agile	الأجايل	5	KEEP
4	A	Arrays	أرايز	5	KEEP
5	A	Arrays	الأرايز	5	KEEP
6	A	Attack	الأتاك	4	KEEP
7	A	branch	البرانش	5	KEEP
8	A	Builder	البيلدر	5	KEEP
9	A	Builder	بيلدر	5	KEEP
10	A	catch	الكاتش	4	KEEP
11	A	Cipher	السايفر	5	KEEP
12	A	Cloud	الكلاود	5	KEEP
13	A	Cluster	الكلستر	5	KEEP
14	A	Codes	الكودز	4	KEEP
15	A	Corpus	الكوربس	5	KEEP
16	A	DELETE	الديليت	5	KEEP
17	A	Docker	الدوكر	4	KEEP
18	A	Engine	الإنجن	4	KEEP
19	A	Error	الإيرور	5	KEEP
20	A	Event	إيفنت	5	KEEP
21	A	Event	الإيفنت	5	KEEP
22	A	Facade	الفاساد	5	KEEP
23	A	Feature	الفيتشر	5	KEEP
24	A	FIFO	الفايفو	5	KEEP
25	A	FIFO	الفيفو	4	KEEP
26	A	FIFO	فايفو	5	KEEP
27	A	Flags	الفلاجز	5	KEEP
28	A	Flags	فلاجز	5	KEEP
29	A	Flask	الفلاسك	5	KEEP
30	A	Folds	الفولدز	5	KEEP
31	A	Funnel	الفانل	4	KEEP
32	A	Getters	الجيترز	5	KEEP
33	A	Getters	جيترز	5	KEEP
34	A	Hadoop	الهادوب	5	KEEP
35	A	Hadoop	هادوب	5	KEEP
36	A	Headers	هيدرز	5	KEEP
37	A	Input	الإنبوت	5	KEEP
38	A	Integer	الإنتجر	5	KEEP
39	A	Kafka	الكافكا	5	KEEP
40	A	Kaggle	الكاجل	4	KEEP
41	A	Kernel	الكيرنل	5	KEEP
42	A	Label	الليبل	4	KEEP
43	A	Labels	الليبلز	5	KEEP
44	A	Labels	ليبلز	5	KEEP
45	A	Lambda	اللامدا	5	KEEP
46	A	Lasso	اللاسو	4	KEEP
47	A	Layer	الليير	4	KEEP
48	A	License	الليسنس	5	KEEP
49	A	LIFO	اللايفو	5	KEEP
50	A	LIFO	الليفو	4	KEEP
51	A	LIFO	لايفو	5	KEEP
52	A	List	الليست	4	AMBIGUOUS
53	A	Lodash	اللوداش	5	KEEP
54	A	Lodash	لوداش	5	KEEP
55	A	Logger	اللوجر	4	KEEP
56	A	Message	الميسدج	5	KEEP
57	A	Message	ميسدج	5	KEEP
58	A	Method	الميثود	5	KEEP
59	A	Method	ميثود	5	KEEP
60	A	Model	المودل	4	KEEP
61	A	Neighbors	النيبرز	5	KEEP
62	A	Neighbors	نيبرز	5	KEEP
63	A	Network	النتورك	5	KEEP
64	A	Nodes	النودز	4	KEEP
65	A	NumPy	النمباي	5	KEEP
66	A	NumPy	نمباي	5	KEEP
67	A	OLAP	الأولاب	5	KEEP
68	A	Pandas	الباندز	5	KEEP
69	A	Pandas	باندز	5	KEEP
70	A	Pivot	البيفوت	5	KEEP
71	A	Ports	البورتس	5	KEEP
72	A	Random	الراندم	5	KEEP
73	A	React	الرياكت	5	KEEP
74	A	React	رياكت	5	KEEP
75	A	Rebase	الريبيز	5	KEEP
76	A	Rebase	ريبيز	5	KEEP
77	A	Recall	الريكول	5	KEEP
78	A	Recall	ريكول	5	KEEP
79	A	Redis	الريدس	4	KEEP
80	A	ReLU	الريلو	4	KEEP
81	A	Ridge	الريدج	4	KEEP
82	A	Rivest	ريفست	5	KEEP
83	A	Routers	الروترز	5	KEEP
84	A	Routers	روترز	5	KEEP
85	A	Scatter	السكاتر	5	KEEP
86	A	Scatter	سكاتر	5	KEEP
87	A	Schema	السكيما	5	KEEP
88	A	Session	السيشن	4	KEEP
89	A	Setters	السيترز	5	KEEP
90	A	Setters	سيترز	5	KEEP
91	A	Spark	سبارك	5	KEEP
92	A	Sprint	السبرنت	5	KEEP
93	A	Stack	الستاك	4	KEEP
94	A	Status	الستاتس	5	KEEP
95	A	Stubs	الستبز	4	KEEP
96	A	Tableau	التابلو	5	KEEP
97	A	Tables	التيبلز	5	KEEP
98	A	Tables	تيبلز	5	KEEP
99	A	Tags	التاجز	4	KEEP
100	A	Talend	تالند	5	KEEP
101	A	Tanh	التانش	4	KEEP
